file                                         format  type    num_seqs        sum_len  min_len  avg_len  max_len
S-40-2023_10_S10_L001_R1_001.clean.fastq.gz  FASTQ   DNA   19,731,130  2,667,041,212       15    135.2      151
S-40-2023_10_S10_L001_R2_001.clean.fastq.gz  FASTQ   DNA   19,731,130  2,667,216,925       15    135.2      151
S-40-2023_10_S10_L002_R1_001.clean.fastq.gz  FASTQ   DNA   19,389,101  2,614,381,340       15    134.8      151
S-40-2023_10_S10_L002_R2_001.clean.fastq.gz  FASTQ   DNA   19,389,101  2,614,574,572       15    134.8      151
S-40-2023_11_S11_L001_R1_001.clean.fastq.gz  FASTQ   DNA   22,081,005  2,931,893,958       15    132.8      151
S-40-2023_11_S11_L001_R2_001.clean.fastq.gz  FASTQ   DNA   22,081,005  2,932,155,379       15    132.8      151
S-40-2023_11_S11_L002_R1_001.clean.fastq.gz  FASTQ   DNA   21,718,330  2,876,892,624       15    132.5      151
S-40-2023_11_S11_L002_R2_001.clean.fastq.gz  FASTQ   DNA   21,718,330  2,877,148,284       15    132.5      151
S-40-2023_12_S12_L001_R1_001.clean.fastq.gz  FASTQ   DNA   17,885,896  2,406,164,530       15    134.5      151
S-40-2023_12_S12_L001_R2_001.clean.fastq.gz  FASTQ   DNA   17,885,896  2,406,403,642       15    134.5      151
S-40-2023_12_S12_L002_R1_001.clean.fastq.gz  FASTQ   DNA   17,602,975  2,362,185,493       15    134.2      151
S-40-2023_12_S12_L002_R2_001.clean.fastq.gz  FASTQ   DNA   17,602,975  2,362,432,838       15    134.2      151
S-40-2023_13_S13_L001_R1_001.clean.fastq.gz  FASTQ   DNA   15,356,556  2,043,019,643       15      133      151
S-40-2023_13_S13_L001_R2_001.clean.fastq.gz  FASTQ   DNA   15,356,556  2,043,266,676       15    133.1      151
S-40-2023_13_S13_L002_R1_001.clean.fastq.gz  FASTQ   DNA   15,127,196  2,007,670,002       15    132.7      151
S-40-2023_13_S13_L002_R2_001.clean.fastq.gz  FASTQ   DNA   15,127,196  2,007,917,260       15    132.7      151
S-40-2023_14_S14_L001_R1_001.clean.fastq.gz  FASTQ   DNA   25,598,069  3,407,157,240       16    133.1      151
S-40-2023_14_S14_L001_R2_001.clean.fastq.gz  FASTQ   DNA   25,598,069  3,407,478,833       15    133.1      151
S-40-2023_14_S14_L002_R1_001.clean.fastq.gz  FASTQ   DNA   25,237,663  3,349,985,630       15    132.7      151
S-40-2023_14_S14_L002_R2_001.clean.fastq.gz  FASTQ   DNA   25,237,663  3,350,318,440       15    132.8      151
S-40-2023_15_S15_L001_R1_001.clean.fastq.gz  FASTQ   DNA   17,947,359  2,402,836,383       15    133.9      151
S-40-2023_15_S15_L001_R2_001.clean.fastq.gz  FASTQ   DNA   17,947,359  2,403,122,441       15    133.9      151
S-40-2023_15_S15_L002_R1_001.clean.fastq.gz  FASTQ   DNA   17,677,273  2,360,480,080       16    133.5      151
S-40-2023_15_S15_L002_R2_001.clean.fastq.gz  FASTQ   DNA   17,677,273  2,360,772,497       16    133.5      151
S-40-2023_16_S16_L001_R1_001.clean.fastq.gz  FASTQ   DNA   14,692,136  1,960,655,919       15    133.4      151
S-40-2023_16_S16_L001_R2_001.clean.fastq.gz  FASTQ   DNA   14,692,136  1,960,831,669       15    133.5      151
S-40-2023_16_S16_L002_R1_001.clean.fastq.gz  FASTQ   DNA   14,440,631  1,922,302,877       15    133.1      151
S-40-2023_16_S16_L002_R2_001.clean.fastq.gz  FASTQ   DNA   14,440,631  1,922,465,732       15    133.1      151
S-40-2023_17_S17_L001_R1_001.clean.fastq.gz  FASTQ   DNA   19,356,780  2,546,054,193       15    131.5      151
S-40-2023_17_S17_L001_R2_001.clean.fastq.gz  FASTQ   DNA   19,356,780  2,546,465,410       15    131.6      151
S-40-2023_17_S17_L002_R1_001.clean.fastq.gz  FASTQ   DNA   19,119,707  2,507,437,210       15    131.1      151
S-40-2023_17_S17_L002_R2_001.clean.fastq.gz  FASTQ   DNA   19,119,707  2,507,859,832       15    131.2      151
S-40-2023_18_S18_L001_R1_001.clean.fastq.gz  FASTQ   DNA   19,454,865  2,610,115,098       15    134.2      151
S-40-2023_18_S18_L001_R2_001.clean.fastq.gz  FASTQ   DNA   19,454,865  2,610,341,590       15    134.2      151
S-40-2023_18_S18_L002_R1_001.clean.fastq.gz  FASTQ   DNA   19,111,702  2,557,772,074       15    133.8      151
S-40-2023_18_S18_L002_R2_001.clean.fastq.gz  FASTQ   DNA   19,111,702  2,558,006,036       15    133.8      151
S-40-2023_19_S19_L001_R1_001.clean.fastq.gz  FASTQ   DNA   14,107,548  1,881,094,490       16    133.3      151
S-40-2023_19_S19_L001_R2_001.clean.fastq.gz  FASTQ   DNA   14,107,548  1,881,266,323       15    133.4      151
